epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.65,0.96536,2.62704,1.30188,0.00831,0.57567,0.29432,0.19757,0.94537,3.13923,1.26778,0.00025005,0.00025005,0.00025005
2,209.803,0.91736,1.54365,1.27549,0.92854,0.25341,0.39928,0.27025,1.03126,2.75705,1.37372,0.00049119,0.00049119,0.00049119
3,312.702,0.9361,1.40525,1.26945,0.82072,0.25352,0.31735,0.18866,1.28195,2.76824,1.75232,0.000705924,0.000705924,0.000705924
4,409.516,0.98202,1.36128,1.29191,0.69017,0.33731,0.53774,0.35668,1.26116,2.63508,1.62831,0.000894254,0.000894254,0.000894254
5,494.989,0.96054,1.26116,1.26344,0.66315,0.47697,0.57497,0.36748,1.24745,2.37311,1.65996,0.00105618,0.00105618,0.00105618
6,619.281,0.97813,1.29724,1.29737,0.7243,0.38628,0.47143,0.28696,1.47591,2.61433,1.75998,0.0011917,0.0011917,0.0011917
7,810.065,0.94825,1.21868,1.26091,0.70478,0.45471,0.55668,0.34825,1.3508,2.3186,1.66222,0.0011719,0.0011719,0.0011719
8,888.063,0.96621,1.19834,1.28321,0.83462,0.60955,0.68948,0.44725,1.33021,1.80038,1.62753,0.00108938,0.00108938,0.00108938
9,964.211,0.90084,1.11358,1.24885,0.85767,0.63736,0.71078,0.4724,1.26397,1.60439,1.51236,0.00100687,0.00100687,0.00100687
10,1051.14,0.89379,1.06616,1.20875,0.84719,0.58471,0.68868,0.4678,1.20216,1.59284,1.47943,0.000924352,0.000924352,0.000924352
11,1132.53,0.9707,1.37885,1.31394,0.86599,0.62113,0.70419,0.48691,1.18229,1.67609,1.45372,0.000841835,0.000841835,0.000841835
12,1213.11,0.89212,1.18346,1.24295,0.80444,0.6861,0.75453,0.54335,1.11281,1.46125,1.45007,0.000759318,0.000759318,0.000759318
13,1297.32,0.8461,1.09664,1.21069,0.8986,0.73878,0.81839,0.58147,1.14853,1.38401,1.48418,0.000676802,0.000676802,0.000676802
14,1374.62,0.79684,1.06337,1.16732,0.88253,0.70415,0.79919,0.56463,1.11491,1.40059,1.44174,0.000594286,0.000594286,0.000594286
15,1450.64,0.80653,1.02946,1.16837,0.83665,0.71784,0.78987,0.5671,1.08777,1.36914,1.36841,0.000511769,0.000511769,0.000511769
16,1528.05,0.77756,0.97878,1.12689,0.85475,0.70796,0.78136,0.58364,0.98812,1.34519,1.28541,0.000429253,0.000429253,0.000429253
17,1602.53,0.73551,0.95692,1.11839,0.90568,0.70884,0.78833,0.60039,0.99639,1.3112,1.25153,0.000346736,0.000346736,0.000346736
18,1676.26,0.7397,0.93613,1.15099,0.88954,0.72927,0.807,0.60644,0.96962,1.25667,1.22822,0.00026422,0.00026422,0.00026422
19,1758.62,0.70669,0.9003,1.09614,0.84273,0.7556,0.81324,0.6159,0.95462,1.17336,1.22817,0.000181703,0.000181703,0.000181703
20,1855,0.66591,0.84709,1.05431,0.89626,0.72718,0.82083,0.62149,0.94049,1.12499,1.22559,9.91865e-05,9.91865e-05,9.91865e-05
