epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.5321,1.00601,2.8355,1.35244,0.0062,0.44898,0.20614,0.13304,0.99752,3.26636,1.43074,0.00025005,0.00025005,0.00025005
2,167.583,0.9776,1.82747,1.34067,0.94852,0.04134,0.3576,0.23289,1.0351,3.09246,1.36326,0.00046561,0.00046561,0.00046561
3,247.243,0.93482,1.6304,1.24889,0.95431,0.24884,0.52828,0.37134,1.0409,2.81496,1.34894,0.000628359,0.000628359,0.000628359
4,329.945,0.94751,1.49922,1.29777,0.91156,0.29239,0.49546,0.33518,1.15196,2.5788,1.58767,0.000738298,0.000738298,0.000738298
5,410.104,0.93003,1.41223,1.24996,0.82175,0.30385,0.51925,0.35333,1.12314,2.6159,1.40042,0.000795426,0.000795426,0.000795426
6,490.719,0.92653,1.38277,1.23401,0.8784,0.58818,0.709,0.50636,1.15446,2.03247,1.45717,0.000799743,0.000799743,0.000799743
7,571.82,0.89353,1.27825,1.23219,0.8204,0.66432,0.73517,0.52161,1.12045,1.80118,1.45715,0.000676802,0.000676802,0.000676802
8,637.903,0.84634,1.20138,1.19775,0.89773,0.65028,0.76256,0.54178,1.13141,1.66949,1.4415,0.000511769,0.000511769,0.000511769
9,747.652,0.84361,1.1583,1.17744,0.89872,0.70111,0.80475,0.58256,1.01795,1.40184,1.32754,0.000346736,0.000346736,0.000346736
10,827.84,0.7633,1.09818,1.14411,0.94118,0.69676,0.82397,0.60953,0.9909,1.34154,1.30471,0.000181703,0.000181703,0.000181703
