epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.816,0.92519,1.55323,1.05656,0.86039,0.85321,0.90467,0.64455,0.91709,1.25078,1.09113,0.000551326,0.000551326,0.000551326
2,58.8298,0.91785,0.90602,1.05325,0.80635,0.81651,0.88917,0.64437,0.99356,0.9474,1.11316,0.00108507,0.00108507,0.00108507
3,84.4124,0.95249,0.93422,1.07242,0.81145,0.8423,0.89624,0.57586,1.02217,1.23321,1.18785,0.00159682,0.00159682,0.00159682
4,109.678,0.93679,0.85018,1.04869,0.71528,0.88685,0.7974,0.57211,0.95244,1.12606,1.10952,0.00156798,0.00156798,0.00156798
5,135.165,0.8869,0.78277,1.03982,0.89676,0.90316,0.95519,0.7381,0.80046,0.72386,1.0097,0.00153497,0.00153497,0.00153497
6,161.11,0.8782,0.74137,1.02672,0.91168,0.9419,0.96682,0.73995,0.83325,0.66385,0.99885,0.00150197,0.00150197,0.00150197
7,186.654,0.8115,0.69243,1.00381,0.94661,0.96024,0.97704,0.7525,0.83698,0.62242,1.00927,0.00146896,0.00146896,0.00146896
8,212.07,0.82282,0.68962,0.99295,0.89717,0.94801,0.96631,0.73504,0.86209,0.68476,1.0017,0.00143595,0.00143595,0.00143595
9,237.269,0.79211,0.66599,0.98752,0.92088,0.96103,0.97844,0.78602,0.7704,0.59243,0.98704,0.00140295,0.00140295,0.00140295
10,262.899,0.70409,0.58554,0.95407,0.92073,0.95908,0.97344,0.77592,0.76945,0.56444,0.94764,0.00136994,0.00136994,0.00136994
11,288.111,0.76149,0.62387,0.97376,0.94094,0.94801,0.98144,0.76206,0.82011,0.54626,0.95617,0.00133693,0.00133693,0.00133693
12,313.414,0.73956,0.57467,0.96549,0.94932,0.97554,0.97934,0.80959,0.6975,0.49334,0.92731,0.00130393,0.00130393,0.00130393
13,338.857,0.70025,0.54445,0.95754,0.90301,0.96942,0.9716,0.79958,0.72257,0.52152,0.9236,0.00127092,0.00127092,0.00127092
14,364.381,0.68665,0.51709,0.94319,0.95006,0.95107,0.98354,0.80644,0.71302,0.5163,0.91775,0.00123791,0.00123791,0.00123791
15,389.665,0.71071,0.51861,0.9547,0.94818,0.97554,0.98629,0.82245,0.68044,0.49444,0.90354,0.00120491,0.00120491,0.00120491
16,415.33,0.68863,0.50943,0.93669,0.94983,0.98421,0.98338,0.82114,0.69242,0.47056,0.91417,0.0011719,0.0011719,0.0011719
17,440.822,0.67415,0.50031,0.93092,0.95214,0.97347,0.98657,0.81494,0.70642,0.5217,0.9074,0.00113889,0.00113889,0.00113889
18,466.594,0.66783,0.48936,0.94242,0.95188,0.9678,0.9845,0.80421,0.72571,0.4809,0.90526,0.00110589,0.00110589,0.00110589
19,492.108,0.66358,0.50304,0.94196,0.9551,0.9419,0.98547,0.83844,0.64267,0.45072,0.90057,0.00107288,0.00107288,0.00107288
20,517.699,0.66451,0.50469,0.94262,0.93058,0.96636,0.97875,0.82356,0.65889,0.46642,0.89725,0.00103987,0.00103987,0.00103987
21,543.628,0.66581,0.50108,0.9379,0.94866,0.9419,0.98639,0.81418,0.66613,0.46585,0.91097,0.00100687,0.00100687,0.00100687
22,569.438,0.64208,0.48122,0.92666,0.95761,0.96717,0.9911,0.83598,0.6578,0.42504,0.90115,0.000973861,0.000973861,0.000973861
23,596.956,0.6212,0.46055,0.91577,0.95782,0.97228,0.98626,0.8268,0.66517,0.43103,0.89493,0.000940855,0.000940855,0.000940855
24,622.645,0.60604,0.43888,0.91658,0.972,0.98777,0.99126,0.85553,0.61372,0.40443,0.87987,0.000907848,0.000907848,0.000907848
25,648.452,0.62327,0.45256,0.91608,0.94056,0.96779,0.98342,0.84616,0.63055,0.41725,0.87962,0.000874842,0.000874842,0.000874842
26,674.132,0.60877,0.43986,0.91668,0.92922,0.98471,0.98486,0.84664,0.61739,0.42198,0.87961,0.000841835,0.000841835,0.000841835
27,699.848,0.58991,0.44554,0.91167,0.95967,0.96942,0.98786,0.84693,0.60555,0.40276,0.88716,0.000808828,0.000808828,0.000808828
28,725.894,0.59216,0.42663,0.91104,0.94144,0.98335,0.98214,0.83182,0.66862,0.41545,0.88799,0.000775822,0.000775822,0.000775822
29,751.632,0.59733,0.42372,0.91085,0.96443,0.97859,0.98947,0.85413,0.60871,0.39616,0.88104,0.000742815,0.000742815,0.000742815
30,777.253,0.56257,0.39567,0.90409,0.96144,0.98165,0.98766,0.84957,0.61477,0.3948,0.87685,0.000709809,0.000709809,0.000709809
31,802.964,0.6004,0.417,0.91731,0.96957,0.97423,0.99152,0.85678,0.60564,0.37323,0.87055,0.000676802,0.000676802,0.000676802
32,829.142,0.56555,0.39229,0.89618,0.9488,0.97248,0.97555,0.84045,0.61518,0.40021,0.88256,0.000643795,0.000643795,0.000643795
33,854.835,0.57165,0.4006,0.91025,0.94755,0.99083,0.98255,0.85172,0.6192,0.39388,0.86654,0.000610789,0.000610789,0.000610789
34,880.83,0.55335,0.38637,0.89913,0.94366,0.97317,0.98523,0.84494,0.61667,0.39279,0.87206,0.000577782,0.000577782,0.000577782
35,906.398,0.54962,0.39295,0.89752,0.95833,0.98453,0.99058,0.86602,0.58269,0.37503,0.85982,0.000544776,0.000544776,0.000544776
36,932.392,0.53537,0.37763,0.89721,0.97337,0.98165,0.99247,0.86508,0.57169,0.3629,0.86295,0.000511769,0.000511769,0.000511769
37,958.07,0.52517,0.37376,0.8881,0.97572,0.9832,0.99273,0.87053,0.57279,0.35657,0.85597,0.000478762,0.000478762,0.000478762
38,983.87,0.54291,0.36772,0.89295,0.95788,0.97376,0.99101,0.86535,0.58935,0.38235,0.86336,0.000445756,0.000445756,0.000445756
