epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.692,0.99415,2.38211,1.31346,0.91289,0.21699,0.3175,0.21109,1.04833,2.8418,1.39998,0.0005001,0.0005001,0.0005001
2,230.796,0.99961,1.56646,1.33541,0.91593,0.26408,0.61444,0.42173,1.13882,2.40622,1.57859,0.000983313,0.000983313,0.000983313
3,348.282,1.10255,1.49409,1.3865,0.62587,0.53811,0.64403,0.41817,1.24777,2.26448,1.63267,0.00143242,0.00143242,0.00143242
4,463.681,1.07904,1.4697,1.37916,0.70938,0.56901,0.68924,0.46395,1.17422,2.06514,1.52531,0.00150197,0.00150197,0.00150197
5,576.571,1.02739,1.38776,1.32655,0.68616,0.5615,0.62712,0.39622,1.27907,2.16349,1.72323,0.00144696,0.00144696,0.00144696
6,688.46,1.08578,1.39839,1.38287,0.83243,0.51206,0.62204,0.41791,1.33927,1.89393,1.72894,0.00139195,0.00139195,0.00139195
7,796.541,1.05,1.29029,1.34882,0.7038,0.50869,0.55901,0.34475,1.55034,2.26578,2.11198,0.00133693,0.00133693,0.00133693
8,910.36,1.00261,1.2669,1.33439,0.89101,0.61006,0.74372,0.49691,1.13199,1.68182,1.42982,0.00128192,0.00128192,0.00128192
9,1040.36,1.00354,1.27687,1.34401,0.77321,0.69682,0.72425,0.46488,1.2811,1.62396,1.50524,0.00122691,0.00122691,0.00122691
10,1251.18,0.98494,1.17731,1.29532,0.79398,0.68099,0.74328,0.50701,1.1855,1.52006,1.49417,0.0011719,0.0011719,0.0011719
