epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1167,0.97593,1.63743,1.16664,0.48386,0.53047,0.47918,0.30233,1.11143,1.57404,1.30236,0.00055215,0.00055215,0.00055215
2,65.4762,1.0622,1.25411,1.24746,0.10256,0.34142,0.10544,0.07239,1.1802,13.5545,1.44136,0.00108588,0.00108588,0.00108588
3,97.3556,1.13286,1.24042,1.27362,0.42597,0.63026,0.47608,0.28824,1.16396,1.60509,1.34422,0.00159761,0.00159761,0.00159761
4,128.928,1.14302,1.22649,1.30098,0.59719,0.60225,0.57075,0.37256,1.07618,1.20966,1.27781,0.00156798,0.00156798,0.00156798
5,161.47,1.07616,1.19221,1.25288,0.59726,0.62113,0.59381,0.40058,1.07889,0.98183,1.28659,0.00153497,0.00153497,0.00153497
6,193.583,0.99536,1.01997,1.20505,0.64564,0.58461,0.61536,0.38315,1.10092,1.01821,1.24409,0.00150197,0.00150197,0.00150197
7,225.886,1.0046,1.00992,1.20419,0.60115,0.64779,0.59071,0.41381,0.99304,1.11069,1.17861,0.00146896,0.00146896,0.00146896
8,257.213,0.99182,0.98383,1.20066,0.7373,0.63991,0.68995,0.4679,0.99862,0.83928,1.18397,0.00143595,0.00143595,0.00143595
9,289.425,0.95044,0.93472,1.17358,0.62146,0.62466,0.62846,0.43471,0.9424,0.86445,1.18932,0.00140295,0.00140295,0.00140295
10,320.708,0.92528,0.90873,1.15149,0.65913,0.68246,0.68747,0.48879,0.89806,0.78069,1.13155,0.00136994,0.00136994,0.00136994
11,353.428,0.88855,0.8782,1.14488,0.70967,0.70986,0.73632,0.52914,0.86158,0.70928,1.0933,0.00133693,0.00133693,0.00133693
12,384.856,0.87317,0.83773,1.12,0.76006,0.67305,0.72982,0.5262,0.84351,0.71579,1.06564,0.00130393,0.00130393,0.00130393
13,417.453,0.8431,0.82621,1.11535,0.73781,0.69058,0.72388,0.53627,0.80224,0.72764,1.05805,0.00127092,0.00127092,0.00127092
14,449.711,0.81897,0.79444,1.09135,0.82079,0.68129,0.76614,0.59155,0.78974,0.70244,1.05901,0.00123791,0.00123791,0.00123791
15,482.873,0.81431,0.76339,1.09172,0.84533,0.69337,0.7637,0.57598,0.78348,0.64951,1.0412,0.00120491,0.00120491,0.00120491
16,514.867,0.80395,0.75036,1.09126,0.73275,0.75044,0.76344,0.55199,0.82473,0.68624,1.055,0.0011719,0.0011719,0.0011719
17,547.408,0.7956,0.75283,1.08808,0.79504,0.6929,0.73418,0.53094,0.82655,0.68042,1.05452,0.00113889,0.00113889,0.00113889
18,580.126,0.78931,0.74667,1.08535,0.80168,0.78438,0.82451,0.62726,0.74318,0.59358,1.02359,0.00110589,0.00110589,0.00110589
19,612.238,0.78812,0.7222,1.08173,0.79,0.76538,0.77464,0.57334,0.78752,0.64366,1.0246,0.00107288,0.00107288,0.00107288
20,643.116,0.78228,0.70756,1.07983,0.8016,0.73283,0.78138,0.59952,0.78396,0.61944,1.04021,0.00103987,0.00103987,0.00103987
21,674.111,0.75983,0.7117,1.07609,0.84999,0.73148,0.79951,0.61268,0.73053,0.6117,1.00433,0.00100687,0.00100687,0.00100687
22,706.007,0.74366,0.67496,1.05659,0.89332,0.71102,0.80692,0.61969,0.72535,0.56466,1.00236,0.000973861,0.000973861,0.000973861
23,737.541,0.73286,0.67234,1.04965,0.79069,0.77135,0.7975,0.59423,0.73915,0.62285,1.0177,0.000940855,0.000940855,0.000940855
24,769.702,0.72741,0.64681,1.0399,0.85419,0.74749,0.78987,0.61599,0.71053,0.55171,0.99321,0.000907848,0.000907848,0.000907848
25,800.954,0.72679,0.64173,1.05811,0.84635,0.77509,0.82455,0.64086,0.72669,0.53386,1.00423,0.000874842,0.000874842,0.000874842
26,834.304,0.71358,0.63573,1.03751,0.89295,0.75365,0.82953,0.6279,0.74094,0.56804,0.99688,0.000841835,0.000841835,0.000841835
27,865.763,0.69985,0.61871,1.02731,0.87681,0.74579,0.82988,0.64413,0.71268,0.53768,0.99583,0.000808828,0.000808828,0.000808828
28,898.064,0.69945,0.60249,1.04405,0.85977,0.76476,0.82888,0.64839,0.71552,0.51292,0.98049,0.000775822,0.000775822,0.000775822
29,929.508,0.69503,0.6132,1.03746,0.79844,0.76243,0.81025,0.64307,0.69452,0.54332,0.98657,0.000742815,0.000742815,0.000742815
30,961.185,0.66984,0.58236,1.01282,0.81023,0.75883,0.82041,0.65422,0.68309,0.5093,0.98114,0.000709809,0.000709809,0.000709809
31,992.106,0.67848,0.58993,1.01801,0.82518,0.76552,0.83038,0.65296,0.71116,0.53534,0.98342,0.000676802,0.000676802,0.000676802
32,1023.3,0.68333,0.58559,1.02106,0.8531,0.79524,0.84853,0.6711,0.67958,0.48777,0.977,0.000643795,0.000643795,0.000643795
33,1055.05,0.66708,0.57566,1.0189,0.84458,0.79292,0.82764,0.64677,0.69693,0.49229,0.96866,0.000610789,0.000610789,0.000610789
34,1085.71,0.65936,0.55177,1.00985,0.86789,0.75657,0.83117,0.6441,0.70361,0.49215,0.98772,0.000577782,0.000577782,0.000577782
35,1118.38,0.65182,0.54662,1.01023,0.8656,0.79292,0.83515,0.65337,0.69906,0.48287,0.98654,0.000544776,0.000544776,0.000544776
36,1149.2,0.63769,0.54449,0.99648,0.7966,0.81064,0.83379,0.65391,0.69992,0.49975,0.97637,0.000511769,0.000511769,0.000511769
37,1181.04,0.62771,0.52547,0.99602,0.8239,0.80623,0.83688,0.6672,0.65868,0.46873,0.9629,0.000478762,0.000478762,0.000478762
38,1213.85,0.62262,0.51211,0.99632,0.80868,0.78832,0.81859,0.66055,0.64875,0.49178,0.95672,0.000445756,0.000445756,0.000445756
39,1246.28,0.60635,0.48392,0.98926,0.87412,0.77644,0.84845,0.673,0.66067,0.46063,0.96166,0.000412749,0.000412749,0.000412749
40,1278.4,0.61109,0.49759,0.9872,0.87444,0.79756,0.84695,0.6712,0.65301,0.47366,0.96453,0.000379743,0.000379743,0.000379743
41,1311.61,0.60725,0.4563,0.96236,0.86822,0.80744,0.85704,0.69455,0.63659,0.44131,0.94606,0.000346736,0.000346736,0.000346736
42,1342.35,0.57579,0.4241,0.94088,0.88468,0.7935,0.85908,0.6861,0.64208,0.44895,0.95463,0.000313729,0.000313729,0.000313729
43,1374.14,0.581,0.40961,0.95161,0.84356,0.8323,0.87095,0.69865,0.63999,0.43599,0.94523,0.000280723,0.000280723,0.000280723
44,1404.41,0.56385,0.40579,0.93997,0.86322,0.81706,0.86298,0.69864,0.63249,0.43151,0.94486,0.000247716,0.000247716,0.000247716
45,1434.63,0.55395,0.39346,0.93915,0.91915,0.80145,0.87896,0.70404,0.63258,0.42418,0.94588,0.00021471,0.00021471,0.00021471
46,1465.82,0.5411,0.38774,0.93244,0.91497,0.78375,0.86478,0.69979,0.62952,0.441,0.95262,0.000181703,0.000181703,0.000181703
47,1496.03,0.52985,0.38051,0.92479,0.94002,0.77876,0.87795,0.70958,0.62204,0.4151,0.93812,0.000148696,0.000148696,0.000148696
48,1526.77,0.52583,0.36726,0.92072,0.9297,0.8024,0.87829,0.70776,0.62089,0.417,0.9389,0.00011569,0.00011569,0.00011569
49,1556.79,0.51055,0.35608,0.91252,0.93541,0.80271,0.87977,0.70418,0.61772,0.41273,0.94293,8.26832e-05,8.26832e-05,8.26832e-05
50,1586.67,0.52639,0.35687,0.91965,0.9001,0.8094,0.88004,0.71036,0.61271,0.405,0.9378,4.96766e-05,4.96766e-05,4.96766e-05
