epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3229,1.01682,1.68222,1.20041,0.48939,0.57467,0.50359,0.3214,1.10782,1.30967,1.29551,0.00055215,0.00055215,0.00055215
2,66.5321,1.09447,1.26807,1.2472,0.64006,0.54561,0.5508,0.35806,1.09713,1.26895,1.31399,0.00108588,0.00108588,0.00108588
3,98.3676,1.12701,1.24975,1.27277,0.41665,0.59505,0.55783,0.34486,1.18874,1.85776,1.32698,0.00159761,0.00159761,0.00159761
4,129.729,1.08163,1.13982,1.24246,0.57498,0.60694,0.58155,0.38599,1.02383,1.22917,1.20965,0.00156798,0.00156798,0.00156798
5,161.179,1.09745,1.18714,1.27116,0.44306,0.64584,0.60745,0.40745,1.03274,1.08182,1.23216,0.00153497,0.00153497,0.00153497
6,192.742,1.021,1.09851,1.21811,0.6667,0.63289,0.61864,0.42958,1.01842,0.94182,1.21352,0.00150197,0.00150197,0.00150197
7,224.845,1.00675,1.01689,1.20292,0.71805,0.65754,0.68255,0.47784,0.93682,0.85509,1.15027,0.00146896,0.00146896,0.00146896
8,256.649,0.95518,0.94636,1.16958,0.70809,0.60824,0.65073,0.44576,0.9735,0.87278,1.15759,0.00143595,0.00143595,0.00143595
9,291.417,0.94134,0.92876,1.17071,0.77051,0.64248,0.71417,0.50866,0.93133,0.78849,1.13538,0.00140295,0.00140295,0.00140295
10,324.448,0.91185,0.89858,1.15689,0.79101,0.65881,0.72889,0.52228,0.89244,0.73571,1.11465,0.00136994,0.00136994,0.00136994
11,356.043,0.87204,0.85201,1.13499,0.78205,0.69975,0.73402,0.5364,0.85139,0.75973,1.07017,0.00133693,0.00133693,0.00133693
12,387.258,0.86111,0.84502,1.12053,0.83797,0.6741,0.74993,0.5658,0.81338,0.70792,1.06611,0.00130393,0.00130393,0.00130393
13,418.099,0.82788,0.79934,1.0948,0.74784,0.73258,0.74135,0.54458,0.83878,0.80673,1.07897,0.00127092,0.00127092,0.00127092
14,449.019,0.86212,0.81325,1.11732,0.8014,0.67007,0.75003,0.55556,0.85351,0.72001,1.0747,0.00123791,0.00123791,0.00123791
15,479.469,0.82124,0.78538,1.09183,0.78797,0.67624,0.73394,0.54257,0.78581,0.73303,1.05428,0.00120491,0.00120491,0.00120491
16,510.515,0.82075,0.77691,1.09925,0.84129,0.7233,0.77848,0.58456,0.82157,0.66423,1.06663,0.0011719,0.0011719,0.0011719
17,541.249,0.80614,0.75537,1.08375,0.8353,0.75537,0.79101,0.59732,0.80709,0.62819,1.03446,0.00113889,0.00113889,0.00113889
18,571.76,0.7678,0.71643,1.0614,0.86887,0.70925,0.79598,0.60223,0.80839,0.65639,1.04915,0.00110589,0.00110589,0.00110589
19,604.023,0.78757,0.69258,1.06544,0.78649,0.7627,0.79381,0.59619,0.81288,0.62229,1.0336,0.00107288,0.00107288,0.00107288
20,634.137,0.75774,0.69972,1.06872,0.8278,0.77117,0.80547,0.61174,0.79889,0.60408,1.02723,0.00103987,0.00103987,0.00103987
21,664.941,0.75283,0.69127,1.06904,0.81737,0.74238,0.79791,0.6133,0.7476,0.59694,1.02109,0.00100687,0.00100687,0.00100687
22,695.462,0.74926,0.68435,1.06088,0.82185,0.76932,0.8236,0.63336,0.74386,0.56808,1.01693,0.000973861,0.000973861,0.000973861
23,726.186,0.74516,0.6482,1.05022,0.84952,0.77531,0.82937,0.63474,0.75589,0.56449,1.00543,0.000940855,0.000940855,0.000940855
24,757.295,0.72319,0.62893,1.03706,0.86651,0.7141,0.80847,0.63074,0.73591,0.55204,1.00605,0.000907848,0.000907848,0.000907848
25,788.679,0.7211,0.63222,1.04124,0.81861,0.77651,0.82174,0.6347,0.74825,0.55584,1.00823,0.000874842,0.000874842,0.000874842
