epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8021,1.06358,2.59552,1.37738,0.71747,0.53983,0.62199,0.4641,0.94776,1.87676,1.26335,0.00025005,0.00025005,0.00025005
2,17.9272,0.92631,1.27474,1.24303,0.62909,0.52781,0.55006,0.38088,1.1811,1.71186,1.69567,0.000511654,0.000511654,0.000511654
3,25.2243,1.00867,1.21034,1.32442,0.63789,0.48983,0.54209,0.29264,1.57355,2.4519,2.26376,0.000767977,0.000767977,0.000767977
4,31.2867,1.03073,1.11289,1.33237,0.60002,0.51923,0.55217,0.33287,1.48254,2.90252,1.97808,0.00101902,0.00101902,0.00101902
5,38.3323,1.03083,1.06052,1.32855,0.65628,0.43442,0.43096,0.23846,1.81036,2.58126,2.27453,0.00126478,0.00126478,0.00126478
6,44.7382,1.13469,1.1366,1.39864,0.41664,0.39477,0.33555,0.19971,2.05516,2.81559,2.57327,0.00150526,0.00150526,0.00150526
7,52.4127,1.06459,1.08226,1.33314,0.47092,0.45125,0.35666,0.22963,1.74864,2.79377,1.99262,0.00156798,0.00156798,0.00156798
8,58.482,1.10278,1.07168,1.36546,0.61599,0.50681,0.493,0.30279,1.58505,2.11801,1.87959,0.00155148,0.00155148,0.00155148
9,65.5045,1.07399,1.00879,1.376,0.65832,0.65039,0.64841,0.41041,1.35214,1.4295,1.7561,0.00153497,0.00153497,0.00153497
10,71.6086,1.06635,1.02088,1.34824,0.71331,0.59742,0.64074,0.39293,1.45471,1.54629,1.76278,0.00151847,0.00151847,0.00151847
11,78.7156,1.03838,1.00331,1.32476,0.84308,0.57465,0.68924,0.44519,1.3637,1.28342,1.65036,0.00150197,0.00150197,0.00150197
12,84.9311,1.03603,0.99128,1.31597,0.80312,0.55172,0.64127,0.37777,1.4036,1.46236,1.66808,0.00148546,0.00148546,0.00148546
13,92.3882,1.03762,0.94069,1.32608,0.7223,0.63842,0.6865,0.42146,1.29319,1.3716,1.60451,0.00146896,0.00146896,0.00146896
14,98.4289,1.00079,0.94169,1.30406,0.76648,0.61095,0.68664,0.44295,1.25062,1.44712,1.53299,0.00145246,0.00145246,0.00145246
15,105.946,0.9588,0.90136,1.25937,0.86226,0.63818,0.74875,0.51868,1.20552,1.19781,1.47777,0.00143595,0.00143595,0.00143595
16,112.151,0.94088,0.90347,1.27839,0.78184,0.69167,0.74047,0.51749,1.15569,1.15638,1.42368,0.00141945,0.00141945,0.00141945
17,119.696,0.96423,0.9102,1.2976,0.78958,0.70312,0.70778,0.46324,1.24022,1.06745,1.47049,0.00140295,0.00140295,0.00140295
18,125.908,0.95661,0.88993,1.28217,0.87996,0.61502,0.72405,0.49821,1.14867,1.08571,1.43343,0.00138644,0.00138644,0.00138644
19,132.907,0.94142,0.88115,1.25714,0.84639,0.60947,0.73043,0.51633,1.15923,1.03131,1.42746,0.00136994,0.00136994,0.00136994
20,139.189,0.88978,0.83236,1.25264,0.80887,0.65299,0.74523,0.51356,1.20316,1.03904,1.47359,0.00135344,0.00135344,0.00135344
21,146.258,0.94743,0.87171,1.28816,0.77396,0.71251,0.74099,0.49914,1.26227,1.22721,1.58592,0.00133693,0.00133693,0.00133693
22,152.597,0.88998,0.84462,1.23551,0.83196,0.67187,0.73038,0.45593,1.31921,1.15572,1.53695,0.00132043,0.00132043,0.00132043
23,159.975,0.90737,0.84499,1.24329,0.75637,0.67854,0.74056,0.50107,1.21369,1.04016,1.49089,0.00130393,0.00130393,0.00130393
24,166.146,0.85623,0.7836,1.21389,0.90878,0.6492,0.77089,0.55466,1.10189,1.00615,1.39732,0.00128742,0.00128742,0.00128742
