epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0375,0.98535,1.70795,1.07472,0.62472,0.64029,0.63961,0.40512,1.17818,1.72846,1.42519,0.000662447,0.000662447,0.000662447
2,69.0291,1.04566,1.00868,1.09108,0.64682,0.65947,0.66781,0.39821,1.32195,1.8425,1.346,0.0013028,0.0013028,0.0013028
3,101.263,1.04356,0.97986,1.10063,0.37788,0.65468,0.35835,0.23426,1.16638,3.12053,1.18575,0.00191675,0.00191675,0.00191675
4,132.959,1.05208,0.99494,1.11244,0.72293,0.79616,0.79524,0.55489,1.0415,1.24684,1.16093,0.0018812,0.0018812,0.0018812
5,165.395,0.99004,0.89517,1.06882,0.84583,0.86833,0.88563,0.64549,0.99289,0.8772,1.10044,0.0018416,0.0018416,0.0018416
6,196.848,0.9404,0.78933,1.04594,0.90317,0.8729,0.90797,0.62511,1.03288,0.87096,1.10278,0.001802,0.001802,0.001802
7,229.259,0.91106,0.76481,1.0362,0.9371,0.8729,0.92808,0.68638,0.89956,0.73677,1.02086,0.0017624,0.0017624,0.0017624
8,260.599,0.88398,0.71498,1.02236,0.90625,0.88087,0.91361,0.6741,0.89114,0.72823,1.01182,0.0017228,0.0017228,0.0017228
9,292.935,0.87712,0.73703,1.01064,0.8528,0.8729,0.87993,0.6881,0.8614,0.75298,1.03983,0.0016832,0.0016832,0.0016832
10,324.603,0.84368,0.69169,0.99109,0.89645,0.87199,0.92473,0.69497,0.86544,0.68616,0.99841,0.0016436,0.0016436,0.0016436
11,357.043,0.80859,0.66189,0.98679,0.91397,0.89164,0.93802,0.71644,0.84944,0.64625,0.99131,0.001604,0.001604,0.001604
12,388.979,0.80156,0.62286,0.9743,0.92898,0.90968,0.93825,0.74428,0.81345,0.6403,0.97386,0.0015644,0.0015644,0.0015644
13,421.16,0.80422,0.63356,0.97641,0.94619,0.89209,0.94641,0.75509,0.79744,0.60708,0.96129,0.0015248,0.0015248,0.0015248
14,453.19,0.77176,0.58905,0.96972,0.94005,0.90254,0.9386,0.73669,0.79752,0.60679,0.97433,0.0014852,0.0014852,0.0014852
